srcStateName,Coal Type,Open Cast mines,Underground mines,Mixed mines,srcYear,YearCode,Year
Arunachal Pradesh,Coal,0,0,0,2019-20,2019,"Financial Year (Apr - Mar), 2019"
Assam,Coal,2,1,0,2019-20,2019,"Financial Year (Apr - Mar), 2019"
Chhattisgarh,Coal,24,29,1,2019-20,2019,"Financial Year (Apr - Mar), 2019"
Jammu & Kashmir,Coal,0,2,0,2019-20,2019,"Financial Year (Apr - Mar), 2019"
Jharkhand,Coal,74,33,12,2019-20,2019,"Financial Year (Apr - Mar), 2019"
Madhya Pradesh,Coal,22,36,2,2019-20,2019,"Financial Year (Apr - Mar), 2019"
Maharashtra,Coal,38,16,0,2019-20,2019,"Financial Year (Apr - Mar), 2019"
Odisha,Coal,21,8,0,2019-20,2019,"Financial Year (Apr - Mar), 2019"
Telangana,Coal,19,27,0,2019-20,2019,"Financial Year (Apr - Mar), 2019"
Uttar Pradesh,Coal,5,0,0,2019-20,2019,"Financial Year (Apr - Mar), 2019"
West Bengal,Coal,17,43,10,2019-20,2019,"Financial Year (Apr - Mar), 2019"
Gujarat,Lignite,10,,,2019-20,2019,"Financial Year (Apr - Mar), 2019"
Tamil Nadu,Lignite,3,,,2019-20,2019,"Financial Year (Apr - Mar), 2019"
Rajasthan,Lignite,5,,,2019-20,2019,"Financial Year (Apr - Mar), 2019"
Arunachal Pradesh,Coal,0,0,0,2020-21,2020,"Financial Year (Apr - Mar), 2020"
Assam,Coal,2,1,0,2020-21,2020,"Financial Year (Apr - Mar), 2020"
Chhattisgarh,Coal,24,28,1,2020-21,2020,"Financial Year (Apr - Mar), 2020"
Jammu and Kashmir,Coal,0,2,0,2020-21,2020,"Financial Year (Apr - Mar), 2020"
Jharkhand,Coal,73,26,14,2020-21,2020,"Financial Year (Apr - Mar), 2020"
Madhya Pradesh,Coal,22,37,2,2020-21,2020,"Financial Year (Apr - Mar), 2020"
Maharashtra,Coal,38,16,0,2020-21,2020,"Financial Year (Apr - Mar), 2020"
Odisha,Coal,23,8,0,2020-21,2020,"Financial Year (Apr - Mar), 2020"
Telangana,Coal,19,29,0,2020-21,2020,"Financial Year (Apr - Mar), 2020"
Uttar Pradesh,Coal,5,0,0,2020-21,2020,"Financial Year (Apr - Mar), 2020"
West Bengal,Coal,19,43,10,2020-21,2020,"Financial Year (Apr - Mar), 2020"
Gujarat,Lignite,11,,,2020-21,2020,"Financial Year (Apr - Mar), 2020"
Tamilnadu,Lignite,3,,,2020-21,2020,"Financial Year (Apr - Mar), 2020"
Rajasthan,Lignite,6,,,2020-21,2020,"Financial Year (Apr - Mar), 2020"
