ROWID,Country,State lgd code,State,Yearcode,Year,Coal type,Quantity of coal and lignite produced,Value of coal and lignite produced
1,India,1,Jammu And Kashmir,2015,"Financial Year (Apr - Mar), 2015",Coal,0.012683565657974822,26.9281855507773144
2,India,1,Jammu And Kashmir,2016,"Financial Year (Apr - Mar), 2016",Coal,0.00975658896767294,20.7815345011433622
3,India,1,Jammu And Kashmir,2017,"Financial Year (Apr - Mar), 2017",Coal,0.013659224554742116,30.3429916894628434
4,India,1,Jammu And Kashmir,2018,"Financial Year (Apr - Mar), 2018",Coal,0.012683565657974822,25.1719995365961852
5,India,1,Jammu And Kashmir,2019,"Financial Year (Apr - Mar), 2019",Coal,0.013659224554742116,25.1719995365961852
6,India,1,Jammu And Kashmir,2020,"Financial Year (Apr - Mar), 2020",Coal,0.00975658896767294,17.9521237005182096
7,India,8,Rajasthan,2015,"Financial Year (Apr - Mar), 2015",Lignite,9.492,11103.3
8,India,8,Rajasthan,2016,"Financial Year (Apr - Mar), 2016",Lignite,8.48,9815.1
9,India,8,Rajasthan,2017,"Financial Year (Apr - Mar), 2017",Lignite,9.294,13941.4
10,India,8,Rajasthan,2018,"Financial Year (Apr - Mar), 2018",Lignite,8.676,14499.2
11,India,8,Rajasthan,2019,"Financial Year (Apr - Mar), 2019",Lignite,8.223,13742.2
12,India,8,Rajasthan,2020,"Financial Year (Apr - Mar), 2020",Lignite,9.056,15350.5
13,India,9,Uttar Pradesh,2015,"Financial Year (Apr - Mar), 2015",Coal,12.689,14028.1
14,India,9,Uttar Pradesh,2016,"Financial Year (Apr - Mar), 2016",Coal,16.056,19731.1
15,India,9,Uttar Pradesh,2017,"Financial Year (Apr - Mar), 2017",Coal,18.309,23827.2
16,India,9,Uttar Pradesh,2018,"Financial Year (Apr - Mar), 2018",Coal,20.275,26852.2
17,India,9,Uttar Pradesh,2019,"Financial Year (Apr - Mar), 2019",Coal,18.03,25063.5
18,India,9,Uttar Pradesh,2020,"Financial Year (Apr - Mar), 2020",Coal,17.016,23955.4
19,India,17,Meghalaya,2015,"Financial Year (Apr - Mar), 2015",Coal,3.712,18634.2
20,India,17,Meghalaya,2016,"Financial Year (Apr - Mar), 2016",Coal,2.308,8585.4
21,India,17,Meghalaya,2017,"Financial Year (Apr - Mar), 2017",Coal,1.529,5687.7
22,India,17,Meghalaya,2018,"Financial Year (Apr - Mar), 2018",Coal,,
23,India,17,Meghalaya,2019,"Financial Year (Apr - Mar), 2019",Coal,,
24,India,17,Meghalaya,2020,"Financial Year (Apr - Mar), 2020",Coal,,
25,India,18,Assam,2015,"Financial Year (Apr - Mar), 2015",Coal,0.487,1711.3
26,India,18,Assam,2016,"Financial Year (Apr - Mar), 2016",Coal,0.6,2231.9
27,India,18,Assam,2017,"Financial Year (Apr - Mar), 2017",Coal,0.781,4312.4
28,India,18,Assam,2018,"Financial Year (Apr - Mar), 2018",Coal,0.784,4312.4
29,India,18,Assam,2019,"Financial Year (Apr - Mar), 2019",Coal,0.517,1736.2
30,India,18,Assam,2020,"Financial Year (Apr - Mar), 2020",Coal,0.036,117.1
31,India,19,West Bengal,2015,"Financial Year (Apr - Mar), 2015",Coal,25.751,73255.4
32,India,19,West Bengal,2016,"Financial Year (Apr - Mar), 2016",Coal,27.667,72246.3
33,India,19,West Bengal,2017,"Financial Year (Apr - Mar), 2017",Coal,29.24,78220.9
34,India,19,West Bengal,2018,"Financial Year (Apr - Mar), 2018",Coal,33.136,105237.4
35,India,19,West Bengal,2019,"Financial Year (Apr - Mar), 2019",Coal,33.614,85069.8
36,India,19,West Bengal,2020,"Financial Year (Apr - Mar), 2020",Coal,34.596,78563.6
37,India,20,Jharkhand,2015,"Financial Year (Apr - Mar), 2015",Coal,121.067,187369.9
38,India,20,Jharkhand,2016,"Financial Year (Apr - Mar), 2016",Coal,126.435,200571.5
39,India,20,Jharkhand,2017,"Financial Year (Apr - Mar), 2017",Coal,123.297,254292.4
40,India,20,Jharkhand,2018,"Financial Year (Apr - Mar), 2018",Coal,134.666,271051.4
41,India,20,Jharkhand,2019,"Financial Year (Apr - Mar), 2019",Coal,131.763,272123.7
42,India,20,Jharkhand,2020,"Financial Year (Apr - Mar), 2020",Coal,119.295,250829.6
43,India,21,Odisha,2015,"Financial Year (Apr - Mar), 2015",Coal,138.461,121010.1
44,India,21,Odisha,2016,"Financial Year (Apr - Mar), 2016",Coal,139.359,103882.9
45,India,21,Odisha,2017,"Financial Year (Apr - Mar), 2017",Coal,143.328,130037
46,India,21,Odisha,2018,"Financial Year (Apr - Mar), 2018",Coal,144.312,119110.9
47,India,21,Odisha,2019,"Financial Year (Apr - Mar), 2019",Coal,143.016,146624.3
48,India,21,Odisha,2020,"Financial Year (Apr - Mar), 2020",Coal,154.151,122400
49,India,22,Chhattisgarh,2015,"Financial Year (Apr - Mar), 2015",Coal,130.605,147436.8
50,India,22,Chhattisgarh,2016,"Financial Year (Apr - Mar), 2016",Coal,138.525,104427.5
51,India,22,Chhattisgarh,2017,"Financial Year (Apr - Mar), 2017",Coal,142.546,114808
52,India,22,Chhattisgarh,2018,"Financial Year (Apr - Mar), 2018",Coal,161.893,134351.9
53,India,22,Chhattisgarh,2019,"Financial Year (Apr - Mar), 2019",Coal,157.745,139234
54,India,22,Chhattisgarh,2020,"Financial Year (Apr - Mar), 2020",Coal,158.41,187286.1
55,India,23,Madhya Pradesh,2015,"Financial Year (Apr - Mar), 2015",Coal,107.714,132254.9
56,India,23,Madhya Pradesh,2016,"Financial Year (Apr - Mar), 2016",Coal,105.013,148372.8
57,India,23,Madhya Pradesh,2017,"Financial Year (Apr - Mar), 2017",Coal,112.127,174484.1
58,India,23,Madhya Pradesh,2018,"Financial Year (Apr - Mar), 2018",Coal,118.661,184713.4
59,India,23,Madhya Pradesh,2019,"Financial Year (Apr - Mar), 2019",Coal,125.726,195145.4
60,India,23,Madhya Pradesh,2020,"Financial Year (Apr - Mar), 2020",Coal,132.531,200715.7
61,India,24,Gujarat,2015,"Financial Year (Apr - Mar), 2015",Lignite,10.123,14723.5
62,India,24,Gujarat,2016,"Financial Year (Apr - Mar), 2016",Lignite,10.546,13628.1
63,India,24,Gujarat,2017,"Financial Year (Apr - Mar), 2017",Lignite,13.781,17808.6
64,India,24,Gujarat,2018,"Financial Year (Apr - Mar), 2018",Lignite,12.565,11092
65,India,24,Gujarat,2019,"Financial Year (Apr - Mar), 2019",Lignite,10.357,9142.9
66,India,24,Gujarat,2020,"Financial Year (Apr - Mar), 2020",Lignite,10.813,19216.8
67,India,27,Maharashtra,2015,"Financial Year (Apr - Mar), 2015",Coal,38.351,65340.3
68,India,27,Maharashtra,2016,"Financial Year (Apr - Mar), 2016",Coal,40.559,64267.7
69,India,27,Maharashtra,2017,"Financial Year (Apr - Mar), 2017",Coal,42.219,70892.8
70,India,27,Maharashtra,2018,"Financial Year (Apr - Mar), 2018",Coal,49.818,80555.6
71,India,27,Maharashtra,2019,"Financial Year (Apr - Mar), 2019",Coal,54.746,93946.4
72,India,27,Maharashtra,2020,"Financial Year (Apr - Mar), 2020",Coal,47.435,88149.5
73,India,33,Tamil Nadu,2015,"Financial Year (Apr - Mar), 2015",Lignite,24.227,49168
74,India,33,Tamil Nadu,2016,"Financial Year (Apr - Mar), 2016",Lignite,26.204,51991.8
75,India,33,Tamil Nadu,2017,"Financial Year (Apr - Mar), 2017",Lignite,23.569,47666.8
76,India,33,Tamil Nadu,2018,"Financial Year (Apr - Mar), 2018",Lignite,23.041,42903.8
77,India,33,Tamil Nadu,2019,"Financial Year (Apr - Mar), 2019",Lignite,23.516,43788.3
78,India,33,Tamil Nadu,2020,"Financial Year (Apr - Mar), 2020",Lignite,18.026,36700.3
79,India,36,Telangana,2015,"Financial Year (Apr - Mar), 2015",Coal,60.38,122753.5
80,India,36,Telangana,2016,"Financial Year (Apr - Mar), 2016",Coal,61.336,110294.2
81,India,36,Telangana,2017,"Financial Year (Apr - Mar), 2017",Coal,62.01,119131.3
82,India,36,Telangana,2018,"Financial Year (Apr - Mar), 2018",Coal,65.16,174938.4
83,India,36,Telangana,2019,"Financial Year (Apr - Mar), 2019",Coal,65.703,151074.6
84,India,36,Telangana,2020,"Financial Year (Apr - Mar), 2020",Coal,52.603,124663.3
85,India,37,Ladakh,2015,"Financial Year (Apr - Mar), 2015",Coal,0.0003164343420251845,0.67181444922269940
86,India,37,Ladakh,2016,"Financial Year (Apr - Mar), 2016",Coal,0.000243411032327065,0.51846549885664845
87,India,37,Ladakh,2017,"Financial Year (Apr - Mar), 2017",Coal,0.0003407754452578910,0.75700831053717215
88,India,37,Ladakh,2018,"Financial Year (Apr - Mar), 2018",Coal,0.0003164343420251845,0.62800046340382770
89,India,37,Ladakh,2019,"Financial Year (Apr - Mar), 2019",Coal,0.0003407754452578910,0.62800046340382770
90,India,37,Ladakh,2020,"Financial Year (Apr - Mar), 2020",Coal,0.000243411032327065,0.44787629948179960
