srcStateName,srcYear,Coal Type,Qualtity of coal produced,YearCode,Year
Gujarat,2015-16,Lignite,10.123,2015,"Financial Year (Apr - Mar), 2015"
Chhattisgarh,2015-16,Coking Coal,0.135,2015,"Financial Year (Apr - Mar), 2015"
Jharkhand,2015-16,Coking Coal,58.548,2015,"Financial Year (Apr - Mar), 2015"
Madhya Pradesh,2015-16,Coking Coal,0.209,2015,"Financial Year (Apr - Mar), 2015"
West Bengal,2015-16,Coking Coal,1.995,2015,"Financial Year (Apr - Mar), 2015"
Arunachal Pradesh,2015-16,Non-Coking Coal,0,2015,"Financial Year (Apr - Mar), 2015"
Assam,2015-16,Non-Coking Coal,0.487,2015,"Financial Year (Apr - Mar), 2015"
Chhattisgarh,2015-16,Non-Coking Coal,130.47,2015,"Financial Year (Apr - Mar), 2015"
Jammu & Kashmir,2015-16,Non-Coking Coal,0.013,2015,"Financial Year (Apr - Mar), 2015"
Jharkhand,2015-16,Non-Coking Coal,62.519,2015,"Financial Year (Apr - Mar), 2015"
Madhya Pradesh,2015-16,Non-Coking Coal,107.505,2015,"Financial Year (Apr - Mar), 2015"
Maharashtra,2015-16,Non-Coking Coal,38.351,2015,"Financial Year (Apr - Mar), 2015"
Meghalaya,2015-16,Non-Coking Coal,3.712,2015,"Financial Year (Apr - Mar), 2015"
Odisha,2015-16,Non-Coking Coal,138.461,2015,"Financial Year (Apr - Mar), 2015"
Telangana,2015-16,Non-Coking Coal,60.38,2015,"Financial Year (Apr - Mar), 2015"
Uttar Pradesh,2015-16,Non-Coking Coal,12.689,2015,"Financial Year (Apr - Mar), 2015"
West Bengal,2015-16,Non-Coking Coal,23.756,2015,"Financial Year (Apr - Mar), 2015"
Rajasthan,2015-16,Lignite,9.492,2015,"Financial Year (Apr - Mar), 2015"
Tamilnadu,2015-16,Lignite,24.227,2015,"Financial Year (Apr - Mar), 2015"
Chhattisgarh,2016-17,Coking Coal,0.11,2016,"Financial Year (Apr - Mar), 2016"
Jharkhand,2016-17,Coking Coal,59.604,2016,"Financial Year (Apr - Mar), 2016"
Madhya Pradesh,2016-17,Coking Coal,0.131,2016,"Financial Year (Apr - Mar), 2016"
West Bengal,2016-17,Coking Coal,1.816,2016,"Financial Year (Apr - Mar), 2016"
Arunachal Pradesh,2016-17,Non-Coking Coal,0,2016,"Financial Year (Apr - Mar), 2016"
Assam,2016-17,Non-Coking Coal,0.6,2016,"Financial Year (Apr - Mar), 2016"
Chhattisgarh,2016-17,Non-Coking Coal,138.415,2016,"Financial Year (Apr - Mar), 2016"
Jammu & Kashmir,2016-17,Non-Coking Coal,0.01,2016,"Financial Year (Apr - Mar), 2016"
Jharkhand,2016-17,Non-Coking Coal,66.831,2016,"Financial Year (Apr - Mar), 2016"
