ROWID,Country,State lgd code,State,Yearcode,Year,Coal type,Qualtity of coal produced
1,India,1,Jammu And Kashmir,2015,"Financial Year (Apr - Mar), 2015",Non-Coking Coal,0.012683565657974822
2,India,1,Jammu And Kashmir,2016,"Financial Year (Apr - Mar), 2016",Non-Coking Coal,0.00975658896767294
3,India,1,Jammu And Kashmir,2017,"Financial Year (Apr - Mar), 2017",Non-Coking Coal,0.013659224554742116
4,India,1,Jammu And Kashmir,2018,"Financial Year (Apr - Mar), 2018",Non-Coking Coal,0.012683565657974822
5,India,1,Jammu And Kashmir,2019,"Financial Year (Apr - Mar), 2019",Non-Coking Coal,0.013659224554742116
6,India,1,Jammu And Kashmir,2020,"Financial Year (Apr - Mar), 2020",Non-Coking,0.00975658896767294
7,India,8,Rajasthan,2015,"Financial Year (Apr - Mar), 2015",Lignite,9.492
8,India,8,Rajasthan,2016,"Financial Year (Apr - Mar), 2016",Lignite,8.48
9,India,8,Rajasthan,2017,"Financial Year (Apr - Mar), 2017",Lignite,9.294
10,India,8,Rajasthan,2018,"Financial Year (Apr - Mar), 2018",Lignite,8.676
11,India,8,Rajasthan,2019,"Financial Year (Apr - Mar), 2019",Lignite,8.223
12,India,8,Rajasthan,2020,"Financial Year (Apr - Mar), 2020",Lignite,9.056
13,India,9,Uttar Pradesh,2015,"Financial Year (Apr - Mar), 2015",Non-Coking Coal,12.689
14,India,9,Uttar Pradesh,2016,"Financial Year (Apr - Mar), 2016",Non-Coking Coal,16.056
15,India,9,Uttar Pradesh,2017,"Financial Year (Apr - Mar), 2017",Non-Coking Coal,18.309
16,India,9,Uttar Pradesh,2018,"Financial Year (Apr - Mar), 2018",Non-Coking Coal,20.275
17,India,9,Uttar Pradesh,2019,"Financial Year (Apr - Mar), 2019",Non-Coking Coal,18.03
18,India,9,Uttar Pradesh,2020,"Financial Year (Apr - Mar), 2020",Non-Coking,17.016
19,India,12,Arunachal Pradesh,2015,"Financial Year (Apr - Mar), 2015",Non-Coking Coal,0
20,India,12,Arunachal Pradesh,2016,"Financial Year (Apr - Mar), 2016",Non-Coking Coal,0
21,India,12,Arunachal Pradesh,2017,"Financial Year (Apr - Mar), 2017",Non-Coking Coal,0
22,India,12,Arunachal Pradesh,2018,"Financial Year (Apr - Mar), 2018",Non-Coking Coal,0
23,India,12,Arunachal Pradesh,2019,"Financial Year (Apr - Mar), 2019",Non-Coking Coal,0
24,India,17,Meghalaya,2015,"Financial Year (Apr - Mar), 2015",Non-Coking Coal,3.712
25,India,17,Meghalaya,2016,"Financial Year (Apr - Mar), 2016",Non-Coking Coal,2.308
26,India,17,Meghalaya,2017,"Financial Year (Apr - Mar), 2017",Non-Coking Coal,1.529
27,India,17,Meghalaya,2018,"Financial Year (Apr - Mar), 2018",Non-Coking Coal,0
28,India,17,Meghalaya,2019,"Financial Year (Apr - Mar), 2019",Non-Coking Coal,0
29,India,17,Meghalaya,2020,"Financial Year (Apr - Mar), 2020",Non-Coking,0
30,India,18,Assam,2015,"Financial Year (Apr - Mar), 2015",Non-Coking Coal,0.487
31,India,18,Assam,2016,"Financial Year (Apr - Mar), 2016",Non-Coking Coal,0.6
32,India,18,Assam,2017,"Financial Year (Apr - Mar), 2017",Non-Coking Coal,0.781
33,India,18,Assam,2018,"Financial Year (Apr - Mar), 2018",Non-Coking Coal,0.784
34,India,18,Assam,2019,"Financial Year (Apr - Mar), 2019",Non-Coking Coal,0.517
35,India,18,Assam,2020,"Financial Year (Apr - Mar), 2020",Non-Coking,0.036
36,India,19,West Bengal,2015,"Financial Year (Apr - Mar), 2015",Coking Coal,1.995
37,India,19,West Bengal,2015,"Financial Year (Apr - Mar), 2015",Non-Coking Coal,23.756
38,India,19,West Bengal,2016,"Financial Year (Apr - Mar), 2016",Coking Coal,1.816
39,India,19,West Bengal,2016,"Financial Year (Apr - Mar), 2016",Non-Coking Coal,25.851
40,India,19,West Bengal,2017,"Financial Year (Apr - Mar), 2017",Coking Coal,1.018
41,India,19,West Bengal,2017,"Financial Year (Apr - Mar), 2017",Non-Coking Coal,28.222
42,India,19,West Bengal,2018,"Financial Year (Apr - Mar), 2018",Coking Coal,1.056
43,India,19,West Bengal,2018,"Financial Year (Apr - Mar), 2018",Non-Coking Coal,32.08
44,India,19,West Bengal,2019,"Financial Year (Apr - Mar), 2019",Coking Coal,0.144
45,India,19,West Bengal,2019,"Financial Year (Apr - Mar), 2019",Non-Coking Coal,33.47
46,India,19,West Bengal,2020,"Financial Year (Apr - Mar), 2020",Coking,0
47,India,19,West Bengal,2020,"Financial Year (Apr - Mar), 2020",Non-Coking,30.463
48,India,20,Jharkhand,2015,"Financial Year (Apr - Mar), 2015",Coking Coal,58.548
49,India,20,Jharkhand,2015,"Financial Year (Apr - Mar), 2015",Non-Coking Coal,62.519
50,India,20,Jharkhand,2016,"Financial Year (Apr - Mar), 2016",Coking Coal,59.604
51,India,20,Jharkhand,2016,"Financial Year (Apr - Mar), 2016",Non-Coking Coal,66.831
52,India,20,Jharkhand,2017,"Financial Year (Apr - Mar), 2017",Coking Coal,38.768
53,India,20,Jharkhand,2017,"Financial Year (Apr - Mar), 2017",Non-Coking Coal,84.529
54,India,20,Jharkhand,2018,"Financial Year (Apr - Mar), 2018",Coking Coal,39.641
