srcStateName,srcYear,Coal Type,Coal produced from proved resources,Coal produced from Indicated resources,Coal produced from Inferred resources,YearCode,Year
Sikkim,2018,Coal,0,58,43,2018,"Financial Year (Apr - Mar), 2018"
Rajasthan,2018,Lignite,1168.53,3029.78,2150.77,2018,"Financial Year (Apr - Mar), 2018"
Nagaland,2018,Coal,9,0,401,2018,"Financial Year (Apr - Mar), 2018"
Uttar Pradesh,2018,Coal,884,178,0,2018,"Financial Year (Apr - Mar), 2018"
Bihar,2018,Coal,161,813,392,2018,"Financial Year (Apr - Mar), 2018"
Meghalaya,2018,Coal,89,17,471,2018,"Financial Year (Apr - Mar), 2018"
Telangana,2018,Coal,10475,8576,2651,2018,"Financial Year (Apr - Mar), 2018"
West Bengal,2018,Lignite,0,1.13,2.8,2018,"Financial Year (Apr - Mar), 2018"
Assam,2018,Coal,465,43,3,2018,"Financial Year (Apr - Mar), 2018"
West Bengal,2018,Coal,14156,12869,4643,2018,"Financial Year (Apr - Mar), 2018"
Pondicherry,2018,Lignite,0,405.61,11,2018,"Financial Year (Apr - Mar), 2018"
Arunachal Pradesh,2018,Coal,31,40,19,2018,"Financial Year (Apr - Mar), 2018"
Madhya Pradesh,2018,Coal,11958,12154,3875,2018,"Financial Year (Apr - Mar), 2018"
Tamil Nadu,2018,Lignite,4093.53,22648.33,9392.85,2018,"Financial Year (Apr - Mar), 2018"
Kerala,2018,Lignite,0,0,9.65,2018,"Financial Year (Apr - Mar), 2018"
Chhattisgarh,2018,Coal,20428,34576,2202,2018,"Financial Year (Apr - Mar), 2018"
Jharkhand,2018,Coal,45563,31439,6150,2018,"Financial Year (Apr - Mar), 2018"
Jammu & Kashmir,2018,Lignite,0,20.25,7.3,2018,"Financial Year (Apr - Mar), 2018"
Maharashtra,2018,Coal,7178,3074,2048,2018,"Financial Year (Apr - Mar), 2018"
Andhra Pradesh,2018,Coal,0,1149,432,2018,"Financial Year (Apr - Mar), 2018"
Gujarat,2018,Lignite,1278.65,283.7,1159.7,2018,"Financial Year (Apr - Mar), 2018"
Odisha,2018,Coal,37391,34165,7739,2018,"Financial Year (Apr - Mar), 2018"
Assam,2018,Coal,0,14,0,2018,"Financial Year (Apr - Mar), 2018"
Tertiary,2018,Coal,594,99,895,2018,"Financial Year (Apr - Mar), 2018"
Odisha,2019,Coal,39654,33473,7713,2019,"Financial Year (Apr - Mar), 2019"
Assam,2019,Coal,0,14,0,2019,"Financial Year (Apr - Mar), 2019"
Andhra Pradesh,2019,Coal,97,1078,432,2019,"Financial Year (Apr - Mar), 2019"
Jharkhand,2019,Coal,48032,30400,6074,2019,"Financial Year (Apr - Mar), 2019"
Bihar,2019,Coal,310,1513,11,2019,"Financial Year (Apr - Mar), 2019"
Madhya Pradesh,2019,Coal,12182,12736,3875,2019,"Financial Year (Apr - Mar), 2019"
Chhattisgarh,2019,Coal,21446,36260,2202,2019,"Financial Year (Apr - Mar), 2019"
Maharashtra,2019,Coal,7573,3257,1847,2019,"Financial Year (Apr - Mar), 2019"
Sikkim,2019,Coal,0,58,43,2019,"Financial Year (Apr - Mar), 2019"
Uttar Pradesh,2019,Coal,884,178,0,2019,"Financial Year (Apr - Mar), 2019"
Telangana,2019,Coal,10622,8565,2652,2019,"Financial Year (Apr - Mar), 2019"
West Bengal,2019,Coal,14219,12847,4624,2019,"Financial Year (Apr - Mar), 2019"
Arunachal Pradesh,2019,Coal,31,40,19,2019,"Financial Year (Apr - Mar), 2019"
Assam,2019,Coal,465,43,3,2019,"Financial Year (Apr - Mar), 2019"
Meghalaya,2019,Coal,89,17,471,2019,"Financial Year (Apr - Mar), 2019"
Nagaland,2019,Coal,9,22,415,2019,"Financial Year (Apr - Mar), 2019"
Tertiary,2019,Coal,594,121,908,2019,"Financial Year (Apr - Mar), 2019"
Gujarat,2019,Lignite,1278.65,283.7,1159.7,2019,"Financial Year (Apr - Mar), 2019"
Jammu & Kashmir,2019,Lignite,0,20.25,7.3,2019,"Financial Year (Apr - Mar), 2019"
Kerala,2019,Lignite,0,0,9.65,2019,"Financial Year (Apr - Mar), 2019"
Pondicherry,2019,Lignite,0,405.61,11,2019,"Financial Year (Apr - Mar), 2019"
Rajasthan,2019,Lignite,1168.53,3029.78,2150.77,2019,"Financial Year (Apr - Mar), 2019"
Tamil Nadu,2019,Lignite,4340.35,22496.63,9392.85,2019,"Financial Year (Apr - Mar), 2019"
