ROWID,Country,State lgd code,State,Yearcode,Year,Coal type,Coal produced from proved resources,Coal produced from indicated resources,Coal produced from inferred resources
1,India,1,Jammu And Kashmir,2018,"Financial Year (Apr - Mar), 2018",Lignite,0.000000000000000,19.75709265953770350,7.1223099464012462
2,India,1,Jammu And Kashmir,2019,"Financial Year (Apr - Mar), 2019",Lignite,0.000000000000000,19.75709265953770350,7.1223099464012462
3,India,1,Jammu And Kashmir,2020,"Financial Year (Apr - Mar), 2020",Lignite,0.000000000000000,19.75709265953770350,7.1223099464012462
4,India,1,Jammu And Kashmir,2021,"Financial Year (Apr - Mar), 2021",Lignite,0.000000000000000,19.75709265953770350,7.1223099464012462
5,India,8,Rajasthan,2018,"Financial Year (Apr - Mar), 2018",Lignite,1168.53,3029.78,2150.77
6,India,8,Rajasthan,2019,"Financial Year (Apr - Mar), 2019",Lignite,1168.53,3029.78,2150.77
7,India,8,Rajasthan,2020,"Financial Year (Apr - Mar), 2020",Lignite,1168.53,3029.77,2150.77
8,India,8,Rajasthan,2021,"Financial Year (Apr - Mar), 2021",Lignite,1168.53,3029.78,2150.77
9,India,9,Uttar Pradesh,2018,"Financial Year (Apr - Mar), 2018",Coal,884,178,0
10,India,9,Uttar Pradesh,2019,"Financial Year (Apr - Mar), 2019",Coal,884,178,0
11,India,9,Uttar Pradesh,2020,"Financial Year (Apr - Mar), 2020",Coal,884,178,0
12,India,9,Uttar Pradesh,2021,"Financial Year (Apr - Mar), 2021",Coal,884,178,0
13,India,10,Bihar,2018,"Financial Year (Apr - Mar), 2018",Coal,161,813,392
14,India,10,Bihar,2019,"Financial Year (Apr - Mar), 2019",Coal,310,1513,11
15,India,10,Bihar,2020,"Financial Year (Apr - Mar), 2020",Coal,310,2431,11
16,India,10,Bihar,2021,"Financial Year (Apr - Mar), 2021",Coal,310,3143,11
17,India,11,Sikkim,2018,"Financial Year (Apr - Mar), 2018",Coal,0,58,43
18,India,11,Sikkim,2019,"Financial Year (Apr - Mar), 2019",Coal,0,58,43
19,India,11,Sikkim,2020,"Financial Year (Apr - Mar), 2020",Coal,0,58,43
20,India,11,Sikkim,2021,"Financial Year (Apr - Mar), 2021",Coal,0,58,43
21,India,12,Arunachal Pradesh,2018,"Financial Year (Apr - Mar), 2018",Coal,31,40,19
22,India,12,Arunachal Pradesh,2019,"Financial Year (Apr - Mar), 2019",Coal,31,40,19
23,India,12,Arunachal Pradesh,2020,"Financial Year (Apr - Mar), 2020",Coal,31,40,19
24,India,12,Arunachal Pradesh,2021,"Financial Year (Apr - Mar), 2021",Coal,31,40,19
25,India,13,Nagaland,2018,"Financial Year (Apr - Mar), 2018",Coal,9,0,401
26,India,13,Nagaland,2019,"Financial Year (Apr - Mar), 2019",Coal,9,22,415
27,India,13,Nagaland,2020,"Financial Year (Apr - Mar), 2020",Coal,9,22,415
28,India,13,Nagaland,2021,"Financial Year (Apr - Mar), 2021",Coal,9,22,416
29,India,17,Meghalaya,2018,"Financial Year (Apr - Mar), 2018",Coal,89,17,471
30,India,17,Meghalaya,2019,"Financial Year (Apr - Mar), 2019",Coal,89,17,471
31,India,17,Meghalaya,2020,"Financial Year (Apr - Mar), 2020",Coal,89,17,471
32,India,17,Meghalaya,2021,"Financial Year (Apr - Mar), 2021",Coal,89,17,471
33,India,18,Assam,2018,"Financial Year (Apr - Mar), 2018",Coal,465,57,3
34,India,18,Assam,2019,"Financial Year (Apr - Mar), 2019",Coal,465,57,3
35,India,18,Assam,2020,"Financial Year (Apr - Mar), 2020",Coal,465,57,3
36,India,18,Assam,2021,"Financial Year (Apr - Mar), 2021",Coal,465,57,3
37,India,19,West Bengal,2018,"Financial Year (Apr - Mar), 2018",Coal,14156,12869,4643
38,India,19,West Bengal,2018,"Financial Year (Apr - Mar), 2018",Lignite,0,1.13,2.8
39,India,19,West Bengal,2019,"Financial Year (Apr - Mar), 2019",Coal,14219,12847,4624
40,India,19,West Bengal,2019,"Financial Year (Apr - Mar), 2019",Lignite,0,1.13,2.8
41,India,19,West Bengal,2020,"Financial Year (Apr - Mar), 2020",Coal,15189,13125,4623
42,India,19,West Bengal,2020,"Financial Year (Apr - Mar), 2020",Lignite,0,1.13,2.8
43,India,19,West Bengal,2021,"Financial Year (Apr - Mar), 2021",Coal,15199,13296,4597
44,India,19,West Bengal,2021,"Financial Year (Apr - Mar), 2021",Lignite,0,1.13,2.8
45,India,20,Jharkhand,2018,"Financial Year (Apr - Mar), 2018",Coal,45563,31439,6150
46,India,20,Jharkhand,2019,"Financial Year (Apr - Mar), 2019",Coal,48032,30400,6074
